City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,ola,59.5833,151.2833,-6.98,77,100,9.61,RU,1731302469
213,lensk,60.7253,114.9278,-8.77,92,93,2.3,RU,1731302470
214,pocahontas,36.2615,-90.9712,14.36,87,0,3.6,US,1731302350
215,taitung city,22.7583,121.1444,29.15,70,40,6.17,TW,1731302472
216,hobyo,5.3505,48.5268,25.84,74,100,8.17,SO,1731302473
217,januaria,-15.4833,-44.3667,20.45,97,0,2.23,BR,1731302474
218,wailua homesteads,22.0669,-159.378,23.44,92,100,8.75,US,1731302475
219,boende,-0.2167,20.8667,19.92,97,100,0.62,CD,1731302476
220,fray bentos,-33.1325,-58.2956,19.85,82,82,9.32,UY,1731302477
221,nogliki,51.8333,143.1667,-0.74,62,95,9.3,RU,1731302478
222,deyang,31.1302,104.382,16.36,76,100,0.65,CN,1731302479
223,ridgecrest,35.6225,-117.6709,12.58,21,0,3.09,US,1731302481
224,kroya,-7.6331,109.2461,29.29,72,96,4.58,ID,1731302435
225,pesqueira,-8.3578,-36.6964,17.33,89,59,3.26,BR,1731302484
226,zyryanskoye,56.8306,86.6258,-3.29,79,100,4.54,RU,1731302485
227,ebon,4.582,168.6964,28.98,75,99,6.56,MH,1731302486
228,cestos city,5.46,-9.5828,25.02,88,8,3.33,LR,1731302487
229,arno,60.1167,18.6333,5.63,78,100,2.75,SE,1731302488
230,berdigestyakh,62.0989,126.6992,-13.44,97,98,1.77,RU,1731302489
231,paita,-5.0892,-81.1144,17.96,87,98,4.24,PE,1731302058
232,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1731302491
233,dakhla,23.6848,-15.958,21.71,48,0,4.26,EH,1731302492
234,lemvig,56.5486,8.3102,8.14,94,100,3.33,DK,1731302493
235,magor,51.5794,-2.8314,11.47,93,100,3.99,GB,1731302495
236,nassau village-ratliff,30.5111,-81.8093,23.32,93,100,1.54,US,1731302497
237,kununurra,-15.7667,128.7333,40.99,26,20,5.66,AU,1731302329
238,nar'yan-mar,67.6713,53.087,-12.19,91,71,2.0,RU,1731302499
239,kargasok,59.0556,80.8572,-8.56,80,100,6.2,RU,1731302500
240,beira,-19.8436,34.8389,26.05,83,40,4.0,MZ,1731302501
241,olyokminsk,60.3736,120.4264,-9.93,86,97,1.46,RU,1731302502
242,worcester,42.3334,-71.8328,9.64,93,100,5.14,US,1731302134
243,alaghsas,17.0187,8.0168,15.94,33,0,3.09,NE,1731302504
244,simanggang,1.2472,111.4528,31.99,70,40,1.03,MY,1731302505
245,rongelap,11.1635,166.8941,28.29,77,1,8.22,MH,1731302507
246,howard springs,-12.497,131.047,33.26,66,69,5.44,AU,1731302508
247,mikuni,36.2171,136.1519,17.86,69,20,6.42,JP,1731302509
248,san patricio,28.017,-97.5169,21.97,77,16,2.37,US,1731302510
249,gweru,-19.45,29.8167,23.12,37,81,4.89,ZW,1731302511
250,dauphin,51.1494,-100.0502,0.08,93,100,2.06,CA,1731302512
251,houghton,47.1219,-88.569,8.71,97,100,4.12,US,1731302513
252,nookat,40.2671,72.6207,7.63,55,93,1.2,KG,1731302514
253,edmundston,47.3737,-68.3251,4.63,48,100,2.06,CA,1731302515
254,martapura,-3.4167,114.85,32.05,62,40,2.57,ID,1731302447
255,horta,38.5333,-28.6333,20.57,91,31,8.05,PT,1731302517
